Qdate,frontpage,id
1982-12-31,0.1235632183908046,6960
1983-03-31,0.1560428352881183,7844
1983-06-30,0.12093204894558708,7682
1983-09-30,0.12021531100478469,8360
1983-12-31,0.11391610148203969,7962
1984-03-31,0.12471225457007447,7385
1984-06-30,0.11184869739478957,7984
1984-09-30,0.12739475289810862,8195
1984-12-31,0.13131763918330916,8963
1985-03-31,0.12929087624209576,8856
1985-06-30,0.11639492753623189,8832
1985-09-30,0.11762008483319959,8723
1985-12-31,0.12547484747323587,8687
1986-03-31,0.12332439678284182,8206
1986-06-30,0.11588851834206765,8396
1986-09-30,0.13358151757363407,9133
1986-12-31,0.13721719457013576,8840
1987-03-31,0.11418965916995132,8626
1987-06-30,0.11448210476416212,8438
1987-09-30,0.11668432827034028,8493
1987-12-31,0.11744882675986021,8012
