year,quarter,number_of_articles,frontpage,page1to3,avg_n_articles_per_day,avg_n_pages_per_day,avg_n_frontpage_articles_per_day,avg_n_of_word_seg_in_title,min_n_of_word_seg_in_title,max_n_of_word_seg_in_title,avg_n_of_word_seg_in_body,min_n_of_word_seg_in_body,max_n_of_word_seg_in_body
1965,4,4156,0.12800769971126083,0.5091434071222329,46.944177093359,5.950192492781521,5.932868142444659,25.535370548604426,1,112,1023.5962463907604,0,23862
1966,1,3511,0.12645969809171176,0.5112503560239248,40.544289376246084,5.867274280831672,5.01424095699231,26.34320706351467,1,126,1180.7231557960695,0,38998
1966,2,3220,0.13012422360248446,0.40031055900621115,37.554037267080744,5.939130434782609,4.74223602484472,28.175155279503105,1,116,1331.472049689441,0,30789
1966,3,2882,0.1297709923664122,0.4365024288688411,33.16516308119362,6.1505898681471205,4.162040249826509,25.751561415683554,2,110,994.4441360166551,0,18873
1966,4,2703,0.13059563448020717,0.41583425823159453,31.068072512023676,6.022567517573067,4.000369959304477,25.033296337402884,1,109,965.0702922678505,0,15751
1967,1,2453,0.13126783530370975,0.38728088055442317,28.04443538524256,5.986139421117,3.657154504688137,28.725234406848756,1,110,1106.5548308194047,0,26945
1967,2,2269,0.13221683561040107,0.3838695460555311,25.780960775672103,6.265315116791538,3.349052446011459,28.089466725429705,2,127,1352.547377699427,0,24038
1967,3,2379,0.1328289197141656,0.40563261874737283,27.1807482135351,6.139974779319042,3.5615804960067257,29.011349306431274,2,111,1261.177385456074,0,28298
1967,4,2297,0.12146277753591642,0.39660426643447977,25.915106660861994,6.166303874619068,3.105354810622551,28.60339573356552,2,127,1266.1719634305616,0,14462
1968,1,2157,0.11219286045433473,0.37783959202596196,24.432545201668983,6.019471488178025,2.716736207695874,32.986555401019935,2,114,1250.317107093185,0,11463
1968,2,2465,0.1286004056795132,0.4073022312373225,27.70101419878296,6,3.537525354969574,32.985395537525356,2,126,1170.93630831643,0,12182
1968,3,2279,0.12417727073277754,0.38306274681878016,25.39315489249671,6.023694602896007,3.1241772707327775,31.52610794207986,2,127,1293.1566476524793,0,13741
1968,4,2423,0.13330581923235657,0.42220387948823773,27.164259182831202,6.009492364836979,3.6128765992571195,30.686751960379695,2,127,1212.3082955014445,0,11093
1969,1,2613,0.13203214695752008,0.4267125908916954,29.746268656716417,6,3.9318790662074243,32.27401454267126,2,126,1090.6241867585152,0,6050
1969,2,2382,0.12678421494542402,0.41309823677581864,27.54827875734677,6,3.463476070528967,31.749370277078086,0,110,1193.4256926952141,0,22529
1969,3,2465,0.14766734279918864,0.4381338742393509,27.31967545638945,6,4.016632860040568,29.33468559837728,2,109,1249.081135902637,0,10872
1969,4,2840,0.14647887323943662,0.446830985915493,31.93380281690141,6.014788732394366,4.617957746478873,30.3943661971831,2,125,1066.530985915493,0,32811
1970,1,2789,0.15059160989602008,0.44639655790605953,31.572248117604875,6,4.757260666905701,32.26496952312657,2,111,1088.2979562567227,5,10733
1970,2,2507,0.1451934583167132,0.40486637415237337,28.494216194654967,6.2317510969286,4.097726366174711,35.00877542879936,2,128,1175.7869964100519,5,24051
1970,3,2679,0.1444568868980963,0.4337439343038447,29.874953340798804,6.01418439716312,4.287047405748414,31.74654721911161,2,124,1096.4180664427024,0,13662
1970,4,2818,0.14655784244144784,0.414833215046132,31.40454222853087,6.031227821149751,4.561036195883605,30.632008516678496,2,126,1060.7998580553583,0,31573
1971,1,1789,0.1475684740078256,0.41866964784795974,31.06036892118502,6,4.509223029625489,29.52096143096702,2,127,1043.684740078256,0,14512
1971,2,2726,0.14269992663242848,0.3983859134262656,30.810711665443876,5.999266324284666,4.337857666911225,30.75862068965517,2,125,1056.424064563463,0,9489
1971,3,2940,0.1554421768707483,0.37891156462585035,32.77074829931973,6.031632653061225,5.011904761904762,27.250680272108845,2,107,1042.1312925170068,0,20909
1971,4,3181,0.14586607984910405,0.4077334171644137,36.113486325055014,6.0657026092423765,5.13549198365294,25.68500471549827,2,113,977.8138950015718,0,31893
